CustomerID,Invoice,InvoiceDate,Sales,Quantity,Product,Category,Country,Segment,UnitPrice
C001,INV-1001,2025-01-05,240,2,Wireless Headphones,Electronics,United States,Enterprise,120
C002,INV-1002,2025-01-08,75,1,Desk Lamp,Home,United Kingdom,SMB,75
C003,INV-1003,2025-01-09,134,2,Coffee Beans,Grocery,Germany,Consumer,67
C001,INV-1004,2025-01-18,90,1,Travel Adapter,Electronics,United States,Enterprise,90
C004,INV-1005,2025-01-21,410,1,Office Chair,Furniture,Canada,Enterprise,410
C005,INV-1006,2025-01-24,48,3,Notebook Set,Office,United States,Consumer,16
C006,INV-1007,2025-02-02,320,1,Monitor,Electronics,Australia,SMB,320
C002,INV-1008,2025-02-07,55,1,Storage Box,Home,United Kingdom,SMB,55
C007,INV-1009,2025-02-10,680,2,Standing Desk,Furniture,United States,Enterprise,340
C008,INV-1010,2025-02-12,27,1,Water Bottle,Lifestyle,France,Consumer,27
C003,INV-1011,2025-02-16,96,2,Tea Collection,Grocery,Germany,Consumer,48
C009,INV-1012,2025-02-20,510,3,Router Pack,Electronics,United States,SMB,170
C010,INV-1013,2025-02-26,210,1,Backpack,Travel,Spain,Consumer,210
C001,INV-1014,2025-03-02,150,1,Smart Speaker,Electronics,United States,Enterprise,150
C011,INV-1015,2025-03-04,62,2,Planner Set,Office,Canada,Consumer,31
C012,INV-1016,2025-03-08,890,1,Conference Bundle,Services,United States,Enterprise,890
C005,INV-1017,2025-03-11,66,2,Notebook Set,Office,United States,Consumer,33
C013,INV-1018,2025-03-15,540,2,Air Purifier,Home,United Kingdom,SMB,270
C014,INV-1019,2025-03-18,140,1,Gym Bag,Lifestyle,United States,Consumer,140
C007,INV-1020,2025-03-22,375,1,Desk Riser,Furniture,United States,Enterprise,375
C015,INV-1021,2025-03-28,98,2,Candle Set,Home,France,Consumer,49
C003,INV-1022,2025-04-02,72,1,Matcha Kit,Grocery,Germany,Consumer,72
C004,INV-1023,2025-04-09,230,1,Side Table,Furniture,Canada,Enterprise,230
C016,INV-1024,2025-04-12,410,1,Printer,Electronics,United States,SMB,410
C001,INV-1025,2025-04-18,118,2,Accessory Pack,Electronics,United States,Enterprise,59
C017,INV-1026,2025-04-21,58,1,Plant Kit,Home,Australia,Consumer,58
C018,INV-1027,2025-04-26,760,2,Team License,Services,United States,Enterprise,380
C009,INV-1028,2025-05-02,220,1,Mesh Router,Electronics,United States,SMB,220
C010,INV-1029,2025-05-06,120,1,Weekender Bag,Travel,Spain,Consumer,120
C019,INV-1030,2025-05-10,310,1,Ergonomic Keyboard,Electronics,Germany,SMB,310
C002,INV-1031,2025-05-14,82,1,Wall Shelf,Home,United Kingdom,SMB,82
C020,INV-1032,2025-05-17,945,3,Analytics Workshop,Services,United States,Enterprise,315
C007,INV-1033,2025-05-20,420,1,Cabinet,Furniture,United States,Enterprise,420
C021,INV-1034,2025-05-23,44,2,Pen Pack,Office,Canada,Consumer,22
C013,INV-1035,2025-05-29,265,1,Humidifier,Home,United Kingdom,SMB,265
C022,INV-1036,2025-06-04,610,2,Camera Kit,Electronics,United States,Consumer,305
C003,INV-1037,2025-06-08,84,2,Tea Collection,Grocery,Germany,Consumer,42
C001,INV-1038,2025-06-10,175,1,Portable Charger,Electronics,United States,Enterprise,175
C023,INV-1039,2025-06-14,150,1,Carry Case,Travel,France,Consumer,150
C024,INV-1040,2025-06-18,720,2,Executive Bundle,Services,United States,Enterprise,360
C025,INV-1041,2025-06-22,52,1,Desk Tray,Office,United Kingdom,Consumer,52
C004,INV-1042,2025-06-25,455,1,Bookshelf,Furniture,Canada,Enterprise,455
C026,INV-1043,2025-06-27,1180,4,Premium Support,Services,United States,Enterprise,295
C007,INV-1044,2025-07-02,390,1,Storage Unit,Furniture,United States,Enterprise,390
C002,INV-1045,2025-07-06,63,1,Cushion,Home,United Kingdom,SMB,63
C027,INV-1046,2025-07-09,275,1,Smart Kettle,Home,Australia,Consumer,275
C009,INV-1047,2025-07-12,260,1,Router Booster,Electronics,United States,SMB,260
C018,INV-1048,2025-07-16,520,1,Expansion License,Services,United States,Enterprise,520
C028,INV-1049,2025-07-19,138,1,Travel Organizer,Travel,Spain,Consumer,138
C001,INV-1050,2025-07-24,210,1,Tablet Stand,Electronics,United States,Enterprise,210
C029,INV-1051,2025-07-27,430,1,Projector,Electronics,Germany,SMB,430
C005,INV-1052,2025-07-31,72,3,Notebook Set,Office,United States,Consumer,24
